time,count
2023-01-03 5:35,1
2023-01-03 5:46,0
2023-01-03 7:03,1
2023-01-03 11:00,0
2023-01-03 11:03,1
2023-01-03 11:55,0
2023-01-03 12:03,1
2023-01-03 19:13,0
2023-01-03 19:19,1
2023-01-03 22:12,0
2023-01-04 2:04,1
2023-01-04 2:09,0
2023-01-04 2:24,1
2023-01-04 2:29,0
2023-01-04 3:43,1
2023-01-04 3:57,0
2023-01-04 3:57,1
2023-01-04 7:27,0
2023-01-04 7:44,1
2023-01-04 8:27,0
2023-01-04 8:27,1
2023-01-04 12:47,0
2023-01-04 12:49,1
2023-01-04 13:16,0
2023-01-04 13:34,1
2023-01-04 14:21,0
2023-01-04 15:09,1
2023-01-04 15:42,0
2023-01-05 23:04,1
2023-01-05 23:30,0
2023-01-06 0:21,1
2023-01-06 0:26,0
2023-01-06 0:55,1
2023-01-06 8:44,0
2023-01-06 10:50,1
2023-01-06 19:27,0
2023-01-06 19:46,1
2023-01-06 19:51,0
2023-01-06 20:07,1
2023-01-06 22:38,0
2023-01-08 21:15,1
2023-01-08 21:20,0
2023-01-09 0:52,1
2023-01-09 1:58,0
2023-01-09 2:38,1
2023-01-09 5:47,0
2023-01-09 6:03,1
2023-01-09 23:47,0
2023-01-10 1:49,1
2023-01-10 1:54,0
2023-01-10 2:41,1
2023-01-10 2:46,0
2023-01-10 3:04,1
2023-01-10 3:09,0
2023-01-10 3:22,1
2023-01-10 3:36,0
2023-01-10 9:52,1
2023-01-10 10:01,0
2023-01-10 10:09,1
2023-01-10 10:17,0
2023-01-10 11:43,1
2023-01-10 11:58,0
2023-01-10 12:02,1
2023-01-10 12:23,0
2023-01-10 12:37,1
2023-01-10 15:24,0
2023-01-10 15:25,1
2023-01-10 17:21,0
2023-01-10 17:48,1
2023-01-10 19:56,0
2023-01-11 13:22,1
2023-01-11 13:27,0
2023-01-11 13:37,1
2023-01-11 13:42,0
2023-01-11 14:25,1
2023-01-11 14:30,0
2023-01-11 20:41,1
2023-01-11 20:48,0
2023-01-11 20:50,1
2023-01-11 23:19,0
2023-01-11 23:44,1
2023-01-12 8:13,0
2023-01-12 8:13,1
2023-01-12 13:12,0
2023-01-12 13:12,1
2023-01-12 13:47,0
2023-01-12 13:57,1
2023-01-12 14:02,0
2023-01-12 14:35,1
2023-01-12 14:40,0
2023-01-12 15:30,1
2023-01-12 15:46,0
2023-01-12 15:47,1
2023-01-12 15:57,0
2023-01-12 17:22,1
2023-01-13 2:19,0
2023-01-13 2:40,1
2023-01-13 8:41,0
2023-01-13 9:24,1
2023-01-13 11:43,0
2023-01-13 14:54,1
2023-01-13 22:36,0
2023-01-15 21:26,1
2023-01-15 21:31,0
2023-01-16 1:30,1
2023-01-16 2:37,0
2023-01-16 2:49,1
2023-01-16 5:23,0
2023-01-16 5:37,1
2023-01-16 9:49,0
