time,count
2023-01-03 16:32,1
2023-01-04 2:08,0
2023-01-04 17:48,1
2023-01-04 22:41,0
2023-01-05 2:43,1
2023-01-05 11:53,0
2023-01-05 11:54,1
2023-01-05 20:12,0
2023-01-05 20:16,1
2023-01-06 10:12,0
2023-01-06 10:25,1
2023-01-06 13:27,0
2023-01-12 18:36,1
2023-01-12 18:44,0
2023-01-12 18:47,1
2023-01-13 1:27,0
2023-01-13 7:19,1
2023-01-13 10:26,0
2023-01-18 2:08,1
2023-01-18 4:20,0
2023-01-18 4:20,1
2023-01-18 6:35,0
2023-01-18 6:42,1
2023-01-18 11:48,0
2023-01-18 13:03,1
2023-01-18 14:16,0
2023-01-19 0:00,1
2023-01-19 5:05,0
2023-01-19 7:00,1
2023-01-20 5:06,0
